id,seconds,views,likes,comments
yeqARWqjkps,1023,84619778,2603385,301017
PKtnafFtfEo,391,57131190,4707358,297513
NkE0AMGzpJY,1336,119576253,3719348,225860
AKJfakEsgy0,128,54420826,4020866,202949
YQDDm9HLkV4,964,104797858,3343738,190567
YQDDm9HLkV4,964,104797858,3343738,190567
SZQhgExjBvQ,694,85113492,2833891,187948
SZQhgExjBvQ,694,85113492,2833891,187948
5Fg9oZk-5uA,854,74045114,3640655,187773
5Fg9oZk-5uA,854,74045114,3640655,187773
OAbP-V6fEVc,897,74412826,2290401,182264
ha4tRQwKIUg,1016,100371975,3393035,181956
UE5AHE2Ypr8,1031,87102771,3128951,178670
cV2gBU6hKfY,295,52448898,4132687,177576
6wsFjjhZPJI,824,97585126,2518894,173872
LeYsRMZFUq0,858,91681798,4286817,170811
erQ_9yEz0ls,669,106594059,3641646,169970
HPJKxAhLw5I,443,64630566,3613873,165127
C680oxL__ck,797,99700649,3496697,163287
ayXxwJJId_c,709,101745632,3110824,162796
_uwNDiU04zE,719,43238893,2651923,155975
ZV7rU6lnAKQ,1584,44391052,1575434,146908
3LLnjRLrvLU,999,87814365,2734867,138144
RywkkwO78m8,712,24425400,711334,137631
3TflpIllQHY,891,151143603,3966861,136009
0hVZOJCYBBM,155,32540299,2368072,135828
A-vX1AGBGsc,1066,119352796,2306311,134931
nuM0Z4a7kMs,978,91428157,1923305,134616
nuM0Z4a7kMs,978,91428157,1923305,134616
fMfipiV_17o,849,109152270,3125932,133872
fMfipiV_17o,849,109152270,3125932,133872
TQHEJj68Jew,861,84717282,2876493,128922
FbM1yi4mMMc,697,76692327,2751454,127362
Rj_vssRaZlQ,483,99174289,2642315,125468
QxGVgXf_LNk,938,138440792,3224679,124528
bs0SWXbty18,910,100601425,3030445,121346
WcwGleN38zE,1014,84989496,2449214,121200
cExLQ1o2pDw,482,50008942,2359606,120621
DuQbOQwVaNE,677,77042095,2576744,118980
qIsgdOVGA04,943,52868114,2641598,116591
vp5sSqyZ5Go,625,95079717,2612376,116266
vJH28ICkCdU,649,73190107,2661083,115383
9cCpZl8euLI,840,63719508,1891854,114574
YyhKdOCwD7s,907,53637455,1727423,114242
YyhKdOCwD7s,907,53637455,1727423,114242
qZNxvnQv0h4,931,35854023,1270908,112106
f0c7pSCoZqE,748,54785723,2158821,111013
2eFSU7TFOnk,924,101663010,2313086,107422
r7zJ8srwwjk,952,158424466,3109009,106104
r7zJ8srwwjk,952,158424466,3109009,106104
6_im_hGxGRk,911,96310085,2510799,105267
F4Y3Pkn95GI,776,127179753,2846523,104376
sfv1QaRzJg8,782,86437502,3137075,102806
XE9pUM9MEFA,750,60094101,1357892,101318
uocETPj4Jx4,760,57633714,2774047,99670
TDiXxsQ0w2Q,382,32929921,2155684,98498
MC5h-ShR-S8,926,45984373,1091308,96737
MC5h-ShR-S8,926,45984373,1091308,96737
zxYjTTXc-J8,1166,95809336,3482783,94926
nM89Wl03Q4g,754,79464833,2214006,94886
wMuYiLby3-s,705,38421073,1011945,94562
cRPldarzw-M,195,16308305,1226938,94529
IYVjOfoU3uI,1008,101244292,2815381,94482
IYVjOfoU3uI,1008,101244292,2815381,94482
tYHTVjfShOA,909,71865419,1458582,93083
Dc2ZRmuH5OM,843,103902204,2471218,92745
TOcGSwJBPMQ,919,75223134,2155891,90618
ORUX1lHbOa8,703,66772832,1895447,90447
D9lVNzyhYnc,701,109909726,2376880,90444
QbJJwaVdgIs,662,43165039,2416595,90170
QbJJwaVdgIs,662,43165039,2416595,90170
RCvnytndd9c,858,82682475,1907558,90163
hxwpkM5w3Cc,1000,71993932,2558283,88986
Ooke4YZv8Ts,844,87553418,1916757,87816
E6E22XQPhhg,968,64846876,2183523,87041
NZlClr_ivb4,904,76492851,2378693,84362
GLoeAJUcz38,911,145527042,2762425,83853
GLoeAJUcz38,911,145527042,2762425,83853
5V2B28OqfqM,613,58842218,2143711,83396
IoZri9hq7z4,851,62936687,2531831,83065
